"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11490","Verify Glossary Page for HRIS","chromium","2026-03-09","passed","2026-03-09","Glossary Page Tests","glossary.spec.ts","",""
"","7667","Verify Integrations Page","firefox","2026-03-09","passed","2026-03-09","Integrations Page Tests","integrations.spec.ts","",""
"","7772","Verify Constractors Page","chromium","2026-03-09","passed","2026-03-09","Contractors Page Tests","contractors.spec.ts","",""
"","15898","Verify Home Page","firefox","2026-03-09","passed","2026-03-09","Home Page Tests","home.spec.ts","",""
"","14249","Verify Glossary Page for Freelancer","firefox","2026-03-09","passed","2026-03-09","Glossary Page Tests","glossary.spec.ts","",""
"","15879","Verify Glossary Page for ATS","firefox","2026-03-09","passed","2026-03-09","Glossary Page Tests","glossary.spec.ts","",""
"","9729","Verify Constractors Page","firefox","2026-03-09","passed","2026-03-09","Contractors Page Tests","contractors.spec.ts","",""
"","14375","Verify Country Guide for Turkey","firefox","2026-03-09","passed","2026-03-09","Country Guide Page Tests","country-guide.spec.ts","",""
"","14795","Verify Country Guide for Azerbaijan","firefox","2026-03-09","passed","2026-03-09","Country Guide Page Tests","country-guide.spec.ts","",""
"","15725","Verify Country Guide for Ukraine","chromium","2026-03-09","passed","2026-03-09","Country Guide Page Tests","country-guide.spec.ts","",""
"","6807","Verify Perks Page","chromium","2026-03-09","passed","2026-03-09","Perks Page Tests","perks.spec.ts","",""
"","7739","Verify Country Guide for Turkey","chromium","2026-03-09","passed","2026-03-09","Country Guide Page Tests","country-guide.spec.ts","",""
"","13307","Verify Country Guide for Azerbaijan","chromium","2026-03-09","passed","2026-03-09","Country Guide Page Tests","country-guide.spec.ts","",""
"","9826","Verify Glossary Page for Freelancer","chromium","2026-03-09","passed","2026-03-09","Glossary Page Tests","glossary.spec.ts","",""
"","13932","Verify Glossary Page for HRIS","firefox","2026-03-09","passed","2026-03-09","Glossary Page Tests","glossary.spec.ts","",""
"","7742","Verify Glossary Page for ATS","chromium","2026-03-09","passed","2026-03-09","Glossary Page Tests","glossary.spec.ts","",""
"","11468","Verify Perks Page","firefox","2026-03-09","passed","2026-03-09","Perks Page Tests","perks.spec.ts","",""
"","5510","Verify Home Page","chromium","2026-03-09","passed","2026-03-09","Home Page Tests","home.spec.ts","",""
"","12957","Verify Country Guide for Ukraine","firefox","2026-03-09","passed","2026-03-09","Country Guide Page Tests","country-guide.spec.ts","",""
"","5744","Verify Integrations Page","chromium","2026-03-09","passed","2026-03-09","Integrations Page Tests","integrations.spec.ts","",""
